Feature,Coefficient,Importance
tenure,-1.3476127640818845,1.3476127640818845
MonthlyCharges,-0.8515509302322198,0.8515509302322198
InternetService_Fiber optic,0.72774538657717,0.72774538657717
TotalCharges,0.6390281974738831,0.6390281974738831
Contract_Two year,-0.6025908025511029,0.6025908025511029
Contract_One year,-0.31089810535949963,0.31089810535949963
StreamingTV_Yes,0.24970171926717183,0.24970171926717183
StreamingMovies_Yes,0.23636828292596365,0.23636828292596365
MultipleLines_Yes,0.21435936311397455,0.21435936311397455
PaymentMethod_Electronic check,0.18147276098819912,0.18147276098819912
PaperlessBilling_Yes,0.1426630396209191,0.1426630396209191
OnlineSecurity_Yes,-0.1368041009465247,0.1368041009465247
TechSupport_Yes,-0.1182402906910468,0.1182402906910468
Dependents_Yes,-0.105956150301852,0.105956150301852
DeviceProtection_No internet service,-0.08813823218948835,0.08813823218948835
StreamingMovies_No internet service,-0.08813823218948835,0.08813823218948835
StreamingTV_No internet service,-0.08813823218948835,0.08813823218948835
TechSupport_No internet service,-0.08813823218948835,0.08813823218948835
InternetService_No,-0.08813823218948835,0.08813823218948835
OnlineSecurity_No internet service,-0.08813823218948835,0.08813823218948835
OnlineBackup_No internet service,-0.08813823218948835,0.08813823218948835
SeniorCitizen,0.07079189413313183,0.07079189413313183
DeviceProtection_Yes,0.06896486622315572,0.06896486622315572
PaymentMethod_Mailed check,0.03339209935133726,0.03339209935133726
OnlineBackup_Yes,-0.029020244902385656,0.029020244902385656
PaymentMethod_Credit card (automatic),0.016631767604016277,0.016631767604016277
Partner_Yes,-0.012895896003885346,0.012895896003885346
MultipleLines_No phone service,0.011882238776294561,0.011882238776294561
PhoneService_Yes,-0.011882238776293937,0.011882238776293937
gender_Male,-0.01169255806949156,0.01169255806949156
